1 {'loss': 10.151262091052148, 'depth_loss': 2.378533416698056, 'abs_depth_acc': 2.805077778716241, 'RMSE': 5.262811676148446, '1.0m_acc': 0.40937875547716696, '2.5m_acc': 0.7153776735067368, '7.5m_acc': 0.9169276077901164}
1 {'loss': 11.044962925295676, 'depth_loss': 2.726010302382131, 'abs_depth_acc': 3.1560836703546586, 'RMSE': 5.440224655212894, '1.0m_acc': 0.3873384653200065, '2.5m_acc': 0.6757752632181491, '7.5m_acc': 0.898689238775161}
1 {'loss': 7.641245061351407, 'depth_loss': 2.1480788473160035, 'abs_depth_acc': 2.5666834875460594, 'RMSE': 4.858761397100264, '1.0m_acc': 0.44521928842990627, '2.5m_acc': 0.7374726879981256, '7.5m_acc': 0.9285799144737182}
2 {'loss': 6.623000979423523, 'depth_loss': 1.8626255580494482, 'abs_depth_acc': 2.257833547649845, 'RMSE': 4.577024921294181, '1.0m_acc': 0.5394052281495063, '2.5m_acc': 0.7796432174021198, '7.5m_acc': 0.936146845259974}
3 {'loss': 6.081088275678696, 'depth_loss': 1.7236957189536863, 'abs_depth_acc': 2.114424810294182, 'RMSE': 4.415086990402591, '1.0m_acc': 0.5597305692011311, '2.5m_acc': 0.804308311593148, '7.5m_acc': 0.9415066011490361}
4 {'loss': 6.199309937415585, 'depth_loss': 1.7580853739092428, 'abs_depth_acc': 2.145603078507608, 'RMSE': 4.46444095334699, '1.0m_acc': 0.5698861914176133, '2.5m_acc': 0.7985383363500718, '7.5m_acc': 0.9377046366853099}
5 {'loss': 6.190881065783962, 'depth_loss': 1.7453640963762038, 'abs_depth_acc': 2.1427638352878633, 'RMSE': 4.33206291544822, '1.0m_acc': 0.5378591730109146, '2.5m_acc': 0.7905446218867456, '7.5m_acc': 0.9413482292044547}
6 {'loss': 5.89910234943513, 'depth_loss': 1.6664095722859906, 'abs_depth_acc': 2.0535251229040083, 'RMSE': 4.324798334029413, '1.0m_acc': 0.5705168315720174, '2.5m_acc': 0.8081244355247866, '7.5m_acc': 0.9440191018004571}
7 {'loss': 6.7186153954075225, 'depth_loss': 1.9113392873156456, 'abs_depth_acc': 2.299304711241876, 'RMSE': 4.6770490081079545, '1.0m_acc': 0.5678967271120318, '2.5m_acc': 0.7948090333131052, '7.5m_acc': 0.928280801061661}
8 {'loss': 5.768445962859738, 'depth_loss': 1.6339211939804015, 'abs_depth_acc': 2.016430960066857, 'RMSE': 4.27084626882307, '1.0m_acc': 0.5871224228533045, '2.5m_acc': 0.8096754928269694, '7.5m_acc': 0.9454528117372144}
9 {'loss': 5.2600941446519665, 'depth_loss': 1.4873354968524748, 'abs_depth_acc': 1.8643267505591916, 'RMSE': 4.084424738922427, '1.0m_acc': 0.6092413465582556, '2.5m_acc': 0.8340568369434725, '7.5m_acc': 0.9499428767350412}
10 {'loss': 5.229696087298855, 'depth_loss': 1.4828395598357724, 'abs_depth_acc': 1.8570167979886454, 'RMSE': 4.066987262618158, '1.0m_acc': 0.6160988497637934, '2.5m_acc': 0.8339628529164099, '7.5m_acc': 0.9493171995685946}
11 {'loss': 5.284258928029768, 'depth_loss': 1.4994256852134582, 'abs_depth_acc': 1.8740007108257664, 'RMSE': 4.069127605807397, '1.0m_acc': 0.6119000096955607, '2.5m_acc': 0.8229315860136863, '7.5m_acc': 0.950114387177652}
12 {'loss': 5.04076037195421, 'depth_loss': 1.4287131270093303, 'abs_depth_acc': 1.8000707405228769, 'RMSE': 3.97947794775809, '1.0m_acc': 0.6243460212023028, '2.5m_acc': 0.8394113485851595, '7.5m_acc': 0.9516764062066232}
13 {'loss': 4.9701414377458635, 'depth_loss': 1.4098474441036102, 'abs_depth_acc': 1.7810509690353948, 'RMSE': 3.9573083337276214, '1.0m_acc': 0.6333573408905537, '2.5m_acc': 0.8414866597421707, '7.5m_acc': 0.9524406021641146}
14 {'loss': 5.201843965438105, 'depth_loss': 1.4729056267007705, 'abs_depth_acc': 1.8439976183637496, 'RMSE': 3.9964769578749135, '1.0m_acc': 0.617977553918477, '2.5m_acc': 0.8239523186799018, '7.5m_acc': 0.951352987558611}
15 {'loss': 5.2341466546058655, 'depth_loss': 1.4848668522411776, 'abs_depth_acc': 1.8555066729745557, 'RMSE': 4.036246815996785, '1.0m_acc': 0.619741068371842, '2.5m_acc': 0.8235705679943485, '7.5m_acc': 0.9500420180059248}
16 {'loss': 5.014659572993556, 'depth_loss': 1.4213299804156827, 'abs_depth_acc': 1.7902544429225307, 'RMSE': 3.967287601001801, '1.0m_acc': 0.6283057483453904, '2.5m_acc': 0.8375971466302872, '7.5m_acc': 0.9523975152161813}
17 {'loss': 5.041860441046376, 'depth_loss': 1.429721976960859, 'abs_depth_acc': 1.8034555037175455, 'RMSE': 3.9494512013850676, '1.0m_acc': 0.6191198599915351, '2.5m_acc': 0.8361930803906533, '7.5m_acc': 0.9525100444593737}
18 {'loss': 4.97859257363504, 'depth_loss': 1.410998755405026, 'abs_depth_acc': 1.7822997272014618, 'RMSE': 3.930285276905183, '1.0m_acc': 0.6239524859814874, '2.5m_acc': 0.839841769587609, '7.5m_acc': 0.9524280102022232}
19 {'loss': 4.861119184763201, 'depth_loss': 1.3770695607508383, 'abs_depth_acc': 1.7466290573919974, 'RMSE': 3.8862473608986026, '1.0m_acc': 0.6329188140169266, '2.5m_acc': 0.8446444196085776, '7.5m_acc': 0.9543524355657639}
20 {'loss': 5.122762024402618, 'depth_loss': 1.454200763856211, 'abs_depth_acc': 1.8281460164054748, 'RMSE': 3.9825461103070166, '1.0m_acc': 0.6165963487038689, '2.5m_acc': 0.8356158959288751, '7.5m_acc': 0.9509647565503274}
21 {'loss': 4.976703158309383, 'depth_loss': 1.410191144674055, 'abs_depth_acc': 1.7782802437582323, 'RMSE': 3.9285998325194083, '1.0m_acc': 0.6305876563513472, '2.5m_acc': 0.8387401709633489, '7.5m_acc': 0.9524302285525107}
22 {'loss': 5.152409622746129, 'depth_loss': 1.4597438855036613, 'abs_depth_acc': 1.8307413343460328, 'RMSE': 3.9636120209770818, '1.0m_acc': 0.6210664695188883, '2.5m_acc': 0.8236134222918942, '7.5m_acc': 0.9522546606679116}
23 {'loss': 5.0402231918227285, 'depth_loss': 1.4278360163011858, 'abs_depth_acc': 1.7958046476687155, 'RMSE': 3.9397949778264567, '1.0m_acc': 0.6297967212815438, '2.5m_acc': 0.8285913388094595, '7.5m_acc': 0.9533872003516843}
